| #  | Trade Date | Exit Date  |Ticker |Enter Price | Stop Loss  |Take Profit | Exit Price | Winner |  Capital   | Position |Spread|
|172 | 2018-09-03 | 2018-09-14 | TMUS  |      65.770|      59.193|       0.000|      68.222|  Yes   |   3,446.460|   Long   | 0.028|
|173 | 2018-09-05 | 2018-09-07 |  OPK  |       5.800|       5.220|       0.000|       5.214|   No   |   3,095.433|   Long   | 0.006|
|174 | 2018-09-10 | 2018-10-02 |  CSX  |      24.770|      22.293|       0.000|      24.773|  Yes   |   3,094.768|   Long   | 0.007|
|175 | 2018-09-14 | 2018-09-20 | CHRD  |      12.280|      11.052|       0.000|      12.761|  Yes   |   3,214.816|   Long   | 0.009|
|176 | 2018-09-17 | 2018-09-20 |   M   |      35.160|      31.644|       0.000|      35.160|  Yes   |   3,213.858|   Long   | 0.020|
|177 | 2018-09-20 | 2018-11-20 |  WEN  |      17.480|      15.732|       0.000|      17.760|  Yes   |   3,264.028|   Long   | 0.000|
|178 | 2018-09-24 | 2018-11-09 |   M   |      34.750|      31.275|       0.000|      37.753|  Yes   |   3,542.348|   Long   | 0.027|
|179 | 2018-09-28 | 2018-10-10 | PANW  |      75.090|      67.581|       0.000|      67.512|   No   |   3,185.170|   Long   | 0.069|
|180 | 2018-10-01 | 2018-10-22 |  HST  |      20.970|      18.873|       0.000|      18.865|   No   |   2,866.366|   Long   | 0.008|
|181 | 2018-10-03 | 2018-10-11 | QCOM  |      72.640|      65.376|       0.000|      65.370|   No   |   2,581.853|   Long   | 0.006|
|182 | 2018-10-05 | 2018-11-02 | EXPE  |     123.730|     111.357|       0.000|     126.399|  Yes   |   2,634.239|   Long   | 0.111|
|183 | 2018-10-08 | 2018-10-11 | NVDA  |       6.640|       5.976|       0.000|       5.975|   No   |   2,369.092|   Long   | 0.001|
|184 | 2018-10-12 | 2018-10-17 | MTCH  |      54.140|      48.726|       0.000|      56.861|  Yes   |   2,485.104|   Long   | 0.159|
|185 | 2018-10-15 | 2018-10-17 | AAPL  |      54.340|      48.906|       0.000|      55.298|  Yes   |   2,527.198|   Long   | 0.002|
|186 | 2018-10-18 | 2018-11-06 | EXAS  |      63.470|      57.123|       0.000|      74.036|  Yes   |   2,938.256|   Long   | 0.184|
